scenario,experiment,Global_CCS_Cost,Colombia_Bldg_ShellApplianceEff,Colombia_Population,Colombia_Nuclear,Colombia_GDP,Global_RenewableElecTechCost,Colombia_RPS,Global_EV_Bus,Colombia_IndustrialEff
DDP_XL,341,w/o CCS,Low,High,Normal,High,Low,High,Low,High
DDP_XL,342,w/o CCS,Low,High,Normal,High,Low,High,High,Low
DDP_XL,343,w/o CCS,Low,High,Normal,High,Low,High,High,High
DDP_XL,344,w/o CCS,Low,High,Normal,High,High,Low,Low,Low
DDP_XL,345,w/o CCS,Low,High,Normal,High,High,Low,Low,High
DDP_XL,346,w/o CCS,Low,High,Normal,High,High,Low,High,Low
DDP_XL,347,w/o CCS,Low,High,Normal,High,High,Low,High,High
DDP_XL,348,w/o CCS,Low,High,Normal,High,High,High,Low,Low
DDP_XL,349,w/o CCS,Low,High,Normal,High,High,High,Low,High
DDP_XL,350,w/o CCS,Low,High,Normal,High,High,High,High,Low
DDP_XL,351,w/o CCS,Low,High,Normal,High,High,High,High,High
DDP_XL,352,w/o CCS,Low,High,Zero,Low,Low,Low,Low,Low
DDP_XL,353,w/o CCS,Low,High,Zero,Low,Low,Low,Low,High
DDP_XL,354,w/o CCS,Low,High,Zero,Low,Low,Low,High,Low
DDP_XL,355,w/o CCS,Low,High,Zero,Low,Low,Low,High,High
DDP_XL,356,w/o CCS,Low,High,Zero,Low,Low,High,Low,Low
DDP_XL,357,w/o CCS,Low,High,Zero,Low,Low,High,Low,High
DDP_XL,358,w/o CCS,Low,High,Zero,Low,Low,High,High,Low
